date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:55:33	163360/163360	---M--	200	added ('OK')	image/gif	date:Wed,%2003%20Aug%202022%2008:25:38%20GMT	https://gb-mundial.com/assets/img/shop/Santa_Observador_Set_H.gif	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/img/shop/Santa_Observador_Set_H.gif	(from https://gb-mundial.com/)
19:55:33	153351/153351	---M--	200	added ('OK')	image/gif	date:Wed,%2003%20Aug%202022%2008:25:38%20GMT	https://gb-mundial.com/assets/img/shop/Bizarrerie_Santa_Set_H.gif	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/img/shop/Bizarrerie_Santa_Set_H.gif	(from https://gb-mundial.com/)
19:55:33	180043/180043	---M--	200	added ('OK')	image/gif	date:Wed,%2003%20Aug%202022%2008:25:38%20GMT	https://gb-mundial.com/assets/img/shop/Angel_U_Set_H.gif	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/img/shop/Angel_U_Set_H.gif	(from https://gb-mundial.com/)
19:55:33	156087/156087	---M--	200	added ('OK')	image/gif	date:Wed,%2003%20Aug%202022%2008:25:38%20GMT	https://gb-mundial.com/assets/img/shop/Xmas_Dragon_Set_H.gif	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/img/shop/Xmas_Dragon_Set_H.gif	(from https://gb-mundial.com/)
19:55:34	184518/184518	---M--	200	added ('OK')	image/gif	date:Wed,%2003%20Aug%202022%2008:25:38%20GMT	https://gb-mundial.com/assets/img/shop/Snowwoman_Set_M.gif	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/img/shop/Snowwoman_Set_M.gif	(from https://gb-mundial.com/)
19:55:34	452928/452928	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Apr%202025%2022:55:16%20GMT	https://gb-mundial.com/assets/img/screenshot/gbm1.png	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/img/screenshot/gbm1.png	(from https://gb-mundial.com/)
19:55:34	1440054/1440054	---M--	200	added ('OK')	image/bmp	date:Fri,%2013%20Dec%202024%2015:22:55%20GMT	https://gb-mundial.com/assets/img/screenshot/GunBound0000002.bmp	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/img/screenshot/GunBound0000002.bmp	(from https://gb-mundial.com/)
19:55:35	13875/13875	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Nov%202025%2022:55:35%20GMT	https://gb-mundial.com/board/2097152023/1485	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/board/2097152023/1485.html	(from https://gb-mundial.com/)
19:55:36	1755/1755	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Nov%202025%2022:55:36%20GMT	https://gb-mundial.com/assets/Content/fonts/NEXONLv1GothicOTF-1.eot	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/Content/fonts/NEXONLv1GothicOTF-1.eot	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:36	442800/442800	---M--	200	added ('OK')	font/woff	date:Mon,%2030%20Dec%202024%2015:02:08%20GMT	https://gb-mundial.com/assets/Content/fonts/NEXONLv1GothicOTF.woff	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/Content/fonts/NEXONLv1GothicOTF.woff	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:36	407168/407168	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2030%20Dec%202024%2015:01:33%20GMT	https://gb-mundial.com/assets/Content/fonts/NEXONLv1GothicOTF.eot	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/Content/fonts/NEXONLv1GothicOTF.eot	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:37	1755/1755	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Nov%202025%2022:55:37%20GMT	https://gb-mundial.com/assets/Content/fonts/NEXONLv1GothicOTFBold-1.eot	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/Content/fonts/NEXONLv1GothicOTFBold-1.eot	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:37	460900/460900	---M--	200	added ('OK')	font/woff	date:Mon,%2030%20Dec%202024%2015:03:08%20GMT	https://gb-mundial.com/assets/Content/fonts/NEXONLv1GothicOTFBold.woff	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/Content/fonts/NEXONLv1GothicOTFBold.woff	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:37	418739/418739	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2030%20Dec%202024%2015:02:48%20GMT	https://gb-mundial.com/assets/Content/fonts/NEXONLv1GothicOTFBold.eot	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/Content/fonts/NEXONLv1GothicOTFBold.eot	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
